time_s,voltage_mv
1.169921875e-05,92.4254702591
1.171875e-05,92.6915295627
1.173828125e-05,92.9577807545
1.17578125e-05,93.224158597
1.177734375e-05,93.4905985373
1.1796875e-05,93.7570367305
1.181640625e-05,94.0234100612
1.18359375e-05,94.2896561654
1.185546875e-05,94.5557134506
1.1875e-05,94.8215211163
1.189453125e-05,95.0870191726
1.19140625e-05,95.3521484588
1.193359375e-05,95.6168506612
1.1953125e-05,95.8810683295
1.197265625e-05,96.1447448932
1.19921875e-05,96.4078246765
1.201171875e-05,96.6702529134
1.203125e-05,96.9319757611
1.205078125e-05,97.1929403128
1.20703125e-05,97.4530946101
1.208984375e-05,97.7123876546
1.2109375e-05,97.9707694182
1.212890625e-05,98.2281908531
1.21484375e-05,98.4846039011
1.216796875e-05,98.7399615018
1.21875e-05,98.9942176003
1.220703125e-05,99.2473271539
1.22265625e-05,99.4992461385
1.224609375e-05,99.7499315536
1.2265625e-05,99.9993414276
1.228515625e-05,100.247434821
1.23046875e-05,100.49417183
1.232421875e-05,100.739513589
1.234375e-05,100.983422273
1.236328125e-05,101.225861097
1.23828125e-05,101.466794319
1.240234375e-05,101.706187237
1.2421875e-05,101.944006191
1.244140625e-05,102.180218559
1.24609375e-05,102.414792756
1.248046875e-05,102.647698232
1.25e-05,102.878905466
1.251953125e-05,103.108385967
1.25390625e-05,103.336112263
1.255859375e-05,103.5620579
1.2578125e-05,103.786197438
1.259765625e-05,104.008506438
1.26171875e-05,104.228961464
1.263671875e-05,104.447540066
1.265625e-05,104.664220783
1.267578125e-05,104.878983124
1.26953125e-05,105.091807568
1.271484375e-05,105.30267555
1.2734375e-05,105.511569452
1.275390625e-05,105.718472593
1.27734375e-05,105.923369219
1.279296875e-05,106.126244494
1.28125e-05,106.327084484
1.283203125e-05,106.525876148
1.28515625e-05,106.722607328
1.287109375e-05,106.917266731
1.2890625e-05,107.109843922
1.291015625e-05,107.300329309
1.29296875e-05,107.488714126
1.294921875e-05,107.674990427
1.296875e-05,107.859151064
1.298828125e-05,108.041189677
1.30078125e-05,108.221100681
1.302734375e-05,108.398879246
1.3046875e-05,108.574521289
1.306640625e-05,108.748023453
1.30859375e-05,108.919383093
1.310546875e-05,109.088598264
1.3125e-05,109.255667702
1.314453125e-05,109.420590809
1.31640625e-05,109.583367636
1.318359375e-05,109.743998869
1.3203125e-05,109.902485813
1.322265625e-05,110.058830373
1.32421875e-05,110.213035041
1.326171875e-05,110.365102876
1.328125e-05,110.515037491
1.330078125e-05,110.662843033
1.33203125e-05,110.808524171
1.333984375e-05,110.952086075
1.3359375e-05,111.093534401
1.337890625e-05,111.232875275
1.33984375e-05,111.370115275
1.341796875e-05,111.505261416
1.34375e-05,111.638321131
