frequency_hz,peak_amplitude_mv
71000,9.73999992408e-15
71250,9.23953679137e-15
71500,9.64026878886e-15
71750,9.10777923709e-15
72000,9.3316475593e-15
72250,9.49809070412e-15
72500,1.03472890033e-14
72750,9.4222308796e-15
73000,9.93381043404e-15
73250,1.03856049207e-14
73500,1.00429804561e-14
73750,1.01596444235e-14
74000,1.02265804699e-14
74250,1.03137774527e-14
74500,9.27272848051e-15
74750,1.09159762718e-14
75000,1.03808503055e-14
75250,1.0163186669e-14
75500,1.01003489252e-14
75750,1.06488318711e-14
76000,1.02635723079e-14
76250,1.03509576831e-14
76500,1.04518684144e-14
76750,1.05419618983e-14
77000,1.14827655579e-14
77250,1.25055117927e-14
77500,1.16459440355e-14
77750,1.19209768929e-14
78000,1.15321376977e-14
78250,1.13740233499e-14
78500,1.14558039762e-14
78750,1.11925776879e-14
79000,1.17383496519e-14
79250,1.16632245961e-14
79500,1.07640732647e-14
79750,1.24846799483e-14
80000,1.20995392442e-14
80250,1.13195650027e-14
80500,1.18452440248e-14
80750,1.18513655294e-14
81000,1.22856485031e-14
81250,1.2664612361e-14
81500,1.31778207242e-14
81750,1.32587427496e-14
82000,1.31774040833e-14
82250,1.34508950131e-14
82500,1.36248650247e-14
82750,1.41025301087e-14
83000,1.42745048253e-14
83250,1.46316344196e-14
83500,1.39188718449e-14
83750,1.38025510977e-14
84000,1.55038174726e-14
84250,1.58877603219e-14
84500,1.83158049223e-14
84750,1.70822711206e-14
85000,1.78511341303e-14
85250,1.54516307625e-14
85500,1.00942519352e-14
85750,1.56787110055e-14
86000,1.52374987327e-14
86250,1.70147659917e-14
86500,1.68452480651e-14
86750,1.7644309188e-14
87000,1.72804242559e-14
87250,1.86733958625e-14
87500,1.86785693954e-14
87750,1.90632039898e-14
88000,1.89238919833e-14
88250,1.99913408152e-14
88500,1.99127668626e-14
88750,2.07579823042e-14
89000,2.05744972421e-14
89250,2.16184344509e-14
89500,2.19487282751e-14
89750,2.24126159735e-14
90000,2.28793918333e-14
90250,2.32922885423e-14
